Transaction ID,Company Name,Transaction Date,Revenue (AED),Cost of Goods Sold (AED),Gross Profit (AED),Operating Expenses (AED),Net Profit (AED),Account Manager,Department,Payment Method,Invoice Number,Payment Status,Comments
1078,Company A,2023-06-13,958009,857693,100316,46627,53689,Robert Johnson,Marketing,Check,INV-1078,Paid,Urgent payment
1079,Company A,2023-08-19,756464,441148,315316,112819,202497,Robert Johnson,HR,Online,INV-1079,Overdue,Priority client
1080,Company D,2023-12-04,195388,136458,58930,37805,21125,Jane Smith,HR,Check,INV-1080,Paid,Check details
1081,Company A,2023-08-03,619795,93039,526756,46438,480318,Emily Davis,Sales,Credit Card,INV-1081,Pending,Urgent payment
1082,Company C,2023-05-18,169212,65774,103438,22380,81058,Emily Davis,HR,Credit Card,INV-1082,Overdue,Check details
1083,Company C,2024-03-02,840160,87943,752217,420483,331734,John Doe,Finance,Check,INV-1083,Overdue,-
1084,Company E,2023-07-15,707333,555979,151354,85642,65712,Robert Johnson,Marketing,Online,INV-1084,Overdue,Check details
1085,Company B,2023-03-31,990580,655777,334803,159605,175198,Robert Johnson,HR,Credit Card,INV-1085,Overdue,Priority client
1086,Company C,2024-05-29,891380,755201,136179,58862,77317,Jane Smith,Finance,Check,INV-1086,Paid,Check details
1087,Company C,2024-08-24,919470,630810,288660,199824,88836,Alice Brown,Finance,Bank Transfer,INV-1087,Overdue,-
1088,Company C,2024-08-27,163930,99227,64703,38085,26618,Jane Smith,Sales,Credit Card,INV-1088,Pending,Check details
1089,Company D,2024-05-29,557012,446453,110559,48418,62141,Jane Smith,HR,Credit Card,INV-1089,Pending,Priority client
1090,Company D,2023-12-20,722297,552416,169881,44596,125285,Alice Brown,IT,Cash,INV-1090,Overdue,Urgent payment
1091,Company A,2024-03-29,118767,68492,50275,25610,24665,Jane Smith,Marketing,Online,INV-1091,Overdue,-
1092,Company A,2024-04-03,186724,63010,123714,32473,91241,John Doe,Finance,Check,INV-1092,Paid,-
1093,Company C,2023-08-11,673072,447894,225178,99883,125295,John Doe,Finance,Online,INV-1093,Paid,Urgent payment
1094,Company C,2024-04-28,357460,126415,231045,46660,184385,Emily Davis,HR,Bank Transfer,INV-1094,Paid,Check details
1095,Company C,2024-04-24,560399,425585,134814,28645,106169,Jane Smith,IT,Online,INV-1095,Overdue,Urgent payment
1096,Company D,2024-06-06,732890,224286,508604,430202,78402,Emily Davis,Marketing,Credit Card,INV-1096,Pending,Check details
1097,Company A,2024-01-07,843185,187999,655186,390801,264385,Alice Brown,IT,Credit Card,INV-1097,Overdue,Check details
1098,Company A,2024-08-06,111049,51699,59350,38488,20862,Jane Smith,Marketing,Credit Card,INV-1098,Paid,Urgent payment
1099,Company C,2023-05-23,431333,103487,327846,83017,244829,Robert Johnson,IT,Online,INV-1099,Overdue,Priority client
1100,Company A,2023-07-14,436791,155250,281541,211028,70513,Robert Johnson,Finance,Credit Card,INV-1100,Paid,Check details
1101,Company D,2023-07-22,332012,241593,90419,34569,55850,Alice Brown,Marketing,Check,INV-1101,Paid,Urgent payment
1102,Company B,2024-07-04,429752,161550,268202,134514,133688,John Doe,IT,Cash,INV-1102,Paid,Check details
1103,Company D,2023-02-25,444452,124309,320143,181317,138826,Robert Johnson,Finance,Bank Transfer,INV-1103,Paid,-
1104,Company C,2024-02-03,819311,704310,115001,73607,41394,Emily Davis,Finance,Online,INV-1104,Pending,Urgent payment
1105,Company B,2023-11-20,232438,51773,180665,65081,115584,Emily Davis,IT,Cash,INV-1105,Overdue,Check details
1106,Company A,2024-08-17,267126,124583,142543,87251,55292,Alice Brown,Marketing,Credit Card,INV-1106,Overdue,Check details
1107,Company B,2024-07-30,665532,194657,470875,290339,180536,Jane Smith,Marketing,Bank Transfer,INV-1107,Pending,Urgent payment
1108,Company E,2023-11-19,199270,117927,81343,25953,55390,Alice Brown,HR,Cash,INV-1108,Pending,Check details
1109,Company D,2023-06-08,456507,105244,351263,96022,255241,Robert Johnson,Finance,Cash,INV-1109,Paid,Priority client
1110,Company B,2024-06-12,143497,77301,66196,29533,36663,Robert Johnson,HR,Credit Card,INV-1110,Paid,Urgent payment
1111,Company E,2024-06-14,454098,133155,320943,199317,121626,John Doe,Finance,Online,INV-1111,Pending,Check details
1112,Company A,2024-10-31,897714,652411,245303,165416,79887,Alice Brown,Sales,Bank Transfer,INV-1112,Pending,Priority client
1113,Company A,2023-12-20,840391,157060,683331,557527,125804,Emily Davis,HR,Credit Card,INV-1113,Paid,Urgent payment
1114,Company E,2024-10-13,176349,113416,62933,37978,24955,John Doe,Sales,Bank Transfer,INV-1114,Overdue,-
1115,Company D,2023-04-02,933304,493311,439993,38699,401294,John Doe,Marketing,Bank Transfer,INV-1115,Pending,Check details
1116,Company C,2024-09-06,583040,219279,363761,290293,73468,Emily Davis,Sales,Online,INV-1116,Pending,Urgent payment
1117,Company C,2023-04-24,543100,343614,199486,113684,85802,John Doe,Finance,Bank Transfer,INV-1117,Overdue,Urgent payment
1118,Company C,2023-09-13,386389,298134,88255,34773,53482,Emily Davis,HR,Online,INV-1118,Overdue,Urgent payment
1119,Company D,2023-07-05,790936,360588,430348,348531,81817,John Doe,HR,Online,INV-1119,Paid,Check details
1120,Company A,2023-03-09,683778,92712,591066,95845,495221,Alice Brown,Finance,Online,INV-1120,Pending,Check details
1121,Company A,2024-07-23,337383,90794,246589,211711,34878,Robert Johnson,Marketing,Cash,INV-1121,Pending,Priority client
1122,Company B,2024-02-11,755307,433413,321894,280417,41477,Alice Brown,Marketing,Online,INV-1122,Overdue,Check details
1123,Company D,2023-06-20,344695,116946,227749,146142,81607,Emily Davis,Finance,Cash,INV-1123,Overdue,Check details
1124,Company C,2023-10-06,794371,477168,317203,131957,185246,Alice Brown,Marketing,Bank Transfer,INV-1124,Pending,Check details
1125,Company A,2023-06-29,493953,427858,66095,21234,44861,Robert Johnson,Sales,Check,INV-1125,Pending,Urgent payment
1126,Company C,2023-06-25,174380,70745,103635,26683,76952,Jane Smith,HR,Online,INV-1126,Overdue,Priority client
1127,Company D,2023-01-14,372115,287917,84198,46010,38188,John Doe,HR,Check,INV-1127,Pending,Priority client
1128,Company E,2024-10-26,368963,284960,84003,52485,31518,Jane Smith,HR,Online,INV-1128,Paid,-
1129,Company D,2024-09-11,243128,63288,179840,151538,28302,Jane Smith,Marketing,Online,INV-1129,Overdue,Priority client
1130,Company D,2023-10-27,442873,268773,174100,69720,104380,Emily Davis,IT,Check,INV-1130,Pending,Urgent payment
1131,Company D,2023-05-28,554429,381531,172898,109350,63548,Emily Davis,Marketing,Credit Card,INV-1131,Pending,Check details
1132,Company A,2023-03-04,651074,122157,528917,21991,506926,Emily Davis,IT,Cash,INV-1132,Pending,-
1133,Company E,2024-06-10,256725,162339,94386,56164,38222,Jane Smith,HR,Online,INV-1133,Overdue,Urgent payment
1134,Company A,2024-09-15,446729,219439,227290,165291,61999,Emily Davis,HR,Credit Card,INV-1134,Pending,Priority client
1135,Company C,2023-12-17,424420,133113,291307,244190,47117,Alice Brown,Marketing,Online,INV-1135,Paid,Priority client
1136,Company C,2024-07-30,423475,76625,346850,101057,245793,Jane Smith,Marketing,Online,INV-1136,Overdue,Check details
1137,Company B,2023-10-06,103812,50340,53472,20088,33384,Emily Davis,Sales,Online,INV-1137,Overdue,Urgent payment
1138,Company C,2024-11-09,173711,93160,80551,41113,39438,Robert Johnson,HR,Bank Transfer,INV-1138,Pending,Priority client
1139,Company A,2024-10-04,554187,70031,484156,239543,244613,Jane Smith,Sales,Check,INV-1139,Overdue,Priority client
1140,Company A,2023-10-01,280433,167461,112972,70055,42917,Robert Johnson,Finance,Check,INV-1140,Overdue,Check details
1141,Company D,2023-02-10,661986,440920,221066,125181,95885,Robert Johnson,IT,Online,INV-1141,Overdue,-
1142,Company A,2024-02-08,714988,249687,465301,440811,24490,Jane Smith,HR,Check,INV-1142,Overdue,Urgent payment
1143,Company B,2023-11-20,391417,309899,81518,47905,33613,John Doe,HR,Cash,INV-1143,Pending,-
1144,Company D,2024-07-25,545683,69258,476425,113722,362703,Alice Brown,Finance,Credit Card,INV-1144,Overdue,Priority client
1145,Company E,2023-10-11,907706,691984,215722,173840,41882,Jane Smith,Sales,Check,INV-1145,Pending,-
1146,Company C,2023-05-23,180029,77154,102875,43979,58896,Jane Smith,Sales,Bank Transfer,INV-1146,Overdue,-
1147,Company A,2023-01-12,394533,149408,245125,159248,85877,Jane Smith,Sales,Bank Transfer,INV-1147,Overdue,Priority client
1148,Company A,2023-04-23,504814,424261,80553,37089,43464,Jane Smith,Finance,Online,INV-1148,Pending,Urgent payment
1149,Company C,2024-10-28,465604,179581,286023,245690,40333,John Doe,Sales,Credit Card,INV-1149,Pending,-
1150,Company B,2023-07-10,736476,207726,528750,381463,147287,John Doe,IT,Credit Card,INV-1150,Overdue,-
1151,Company A,2023-12-22,554562,499140,55422,20089,35333,John Doe,Finance,Bank Transfer,INV-1151,Overdue,-
1152,Company A,2024-05-31,239117,173444,65673,45176,20497,Robert Johnson,IT,Bank Transfer,INV-1152,Pending,-
1153,Company E,2024-07-12,194846,59140,135706,86039,49667,Emily Davis,Marketing,Check,INV-1153,Pending,-
1154,Company D,2023-06-10,510543,405858,104685,54396,50289,Alice Brown,Marketing,Online,INV-1154,Paid,Check details
1155,Company B,2024-07-19,787596,567764,219832,30976,188856,Jane Smith,Marketing,Check,INV-1155,Overdue,Check details
1156,Company E,2023-02-28,524586,472291,52295,29187,23108,Alice Brown,Sales,Online,INV-1156,Paid,-
1157,Company D,2023-07-17,962211,594069,368142,80623,287519,Jane Smith,Finance,Check,INV-1157,Paid,-
1158,Company B,2024-11-08,580944,202464,378480,120039,258441,John Doe,Marketing,Bank Transfer,INV-1158,Overdue,-
1159,Company C,2023-02-05,940923,265487,675436,462314,213122,Robert Johnson,HR,Check,INV-1159,Pending,Priority client
1160,Company B,2024-11-01,485657,357429,128228,32798,95430,Emily Davis,HR,Cash,INV-1160,Pending,-
1161,Company C,2024-10-18,153426,71686,81740,55544,26196,Jane Smith,Marketing,Cash,INV-1161,Paid,Priority client
1162,Company B,2023-11-11,543999,125934,418065,102614,315451,Alice Brown,IT,Check,INV-1162,Overdue,Priority client
1163,Company C,2023-02-27,676377,52472,623905,50553,573352,Emily Davis,IT,Bank Transfer,INV-1163,Overdue,Urgent payment
1164,Company D,2023-02-07,181629,62152,119477,96729,22748,Robert Johnson,HR,Online,INV-1164,Paid,Priority client
1165,Company C,2024-07-02,933026,230830,702196,168902,533294,Alice Brown,HR,Cash,INV-1165,Paid,Priority client
1166,Company D,2023-05-19,492016,400232,91784,64752,27032,Emily Davis,HR,Bank Transfer,INV-1166,Overdue,Urgent payment
1167,Company A,2023-03-17,263423,95184,168239,95358,72881,Robert Johnson,Sales,Check,INV-1167,Pending,Check details
1168,Company A,2024-05-28,810093,59003,751090,505614,245476,Jane Smith,Finance,Online,INV-1168,Pending,Priority client
1169,Company D,2024-08-13,900245,501647,398598,72414,326184,Emily Davis,Finance,Check,INV-1169,Overdue,Check details
1170,Company B,2023-05-04,517041,190912,326129,109688,216441,Emily Davis,HR,Cash,INV-1170,Pending,Priority client
1171,Company D,2023-04-09,210989,79934,131055,86794,44261,Alice Brown,Finance,Cash,INV-1171,Paid,Urgent payment
1172,Company A,2024-10-05,654785,472996,181789,130116,51673,John Doe,Finance,Online,INV-1172,Pending,-
1173,Company A,2023-09-16,194305,70691,123614,85939,37675,Jane Smith,IT,Cash,INV-1173,Pending,Priority client
1174,Company A,2024-03-09,159103,107896,51207,27400,23807,Jane Smith,IT,Cash,INV-1174,Paid,-
1175,Company D,2024-05-19,357370,265542,91828,22476,69352,Jane Smith,HR,Credit Card,INV-1175,Overdue,-
1176,Company D,2024-07-07,345158,80973,264185,157612,106573,Robert Johnson,Marketing,Online,INV-1176,Paid,Priority client
1177,Company D,2023-02-23,560664,256880,303784,72827,230957,Robert Johnson,Finance,Check,INV-1177,Overdue,Check details
1178,Company C,2024-07-06,317838,216941,100897,78993,21904,Robert Johnson,IT,Online,INV-1178,Paid,Urgent payment
1179,Company C,2024-06-13,539408,257015,282393,93579,188814,Emily Davis,IT,Credit Card,INV-1179,Pending,-
1180,Company B,2024-03-09,468541,78608,389933,278694,111239,Jane Smith,Finance,Online,INV-1180,Overdue,Urgent payment
1181,Company C,2024-01-11,139785,89388,50397,20517,29880,Jane Smith,Sales,Check,INV-1181,Pending,Check details
1182,Company D,2024-05-18,594390,168223,426167,210038,216129,Jane Smith,Sales,Bank Transfer,INV-1182,Overdue,-
1183,Company E,2023-06-20,909496,91565,817931,741270,76661,Alice Brown,Sales,Bank Transfer,INV-1183,Overdue,Check details
1184,Company A,2024-09-12,208916,113270,95646,60630,35016,John Doe,HR,Credit Card,INV-1184,Overdue,-
1185,Company D,2023-09-02,493137,213017,280120,259325,20795,Robert Johnson,Finance,Check,INV-1185,Overdue,Priority client
1186,Company D,2024-04-22,477603,286058,191545,161551,29994,Robert Johnson,Marketing,Cash,INV-1186,Overdue,Urgent payment
1187,Company C,2023-02-08,375377,153102,222275,136694,85581,Alice Brown,IT,Bank Transfer,INV-1187,Overdue,Check details
1188,Company E,2024-04-17,240837,78613,162224,56536,105688,Robert Johnson,Finance,Online,INV-1188,Paid,Priority client
1189,Company B,2023-03-18,291737,152308,139429,36407,103022,Robert Johnson,HR,Bank Transfer,INV-1189,Overdue,Urgent payment
1190,Company D,2023-06-16,379127,166195,212932,36769,176163,Robert Johnson,Marketing,Bank Transfer,INV-1190,Overdue,-
1191,Company A,2024-10-02,114584,57209,57375,23088,34287,Alice Brown,HR,Cash,INV-1191,Overdue,Check details
1192,Company B,2024-04-24,534915,326227,208688,27589,181099,Jane Smith,Finance,Online,INV-1192,Overdue,Urgent payment
1193,Company E,2024-09-27,850566,516058,334508,220830,113678,Jane Smith,IT,Online,INV-1193,Pending,Check details
1194,Company C,2023-01-08,572574,495070,77504,27618,49886,Alice Brown,HR,Cash,INV-1194,Overdue,Check details
1195,Company B,2023-06-19,783244,637019,146225,63596,82629,John Doe,Marketing,Credit Card,INV-1195,Pending,Urgent payment
1196,Company E,2023-03-09,663046,502048,160998,85228,75770,Emily Davis,IT,Cash,INV-1196,Pending,Check details
1197,Company C,2024-01-02,591981,180136,411845,343732,68113,John Doe,Sales,Bank Transfer,INV-1197,Pending,Priority client
1198,Company C,2023-12-07,484695,229876,254819,145087,109732,Robert Johnson,IT,Bank Transfer,INV-1198,Pending,Urgent payment
1199,Company C,2024-09-07,438015,164288,273727,110600,163127,Emily Davis,IT,Bank Transfer,INV-1199,Pending,Check details
1200,Company C,2024-08-19,532213,411906,120307,91460,28847,Jane Smith,Marketing,Credit Card,INV-1200,Overdue,Urgent payment
1201,Company D,2023-03-10,410342,338947,71395,50478,20917,Alice Brown,Sales,Cash,INV-1201,Overdue,-
1202,Company D,2024-02-18,618538,266846,351692,40957,310735,Alice Brown,IT,Bank Transfer,INV-1202,Pending,Check details
1203,Company C,2023-10-24,510709,85721,424988,37205,387783,Jane Smith,IT,Bank Transfer,INV-1203,Overdue,Urgent payment
1204,Company A,2023-04-04,385035,80557,304478,26295,278183,John Doe,Sales,Bank Transfer,INV-1204,Pending,Urgent payment
1205,Company C,2023-06-21,520871,308545,212326,115521,96805,Jane Smith,Sales,Check,INV-1205,Overdue,Urgent payment
1206,Company E,2024-03-21,361771,69932,291839,25251,266588,Alice Brown,Marketing,Bank Transfer,INV-1206,Pending,Check details
1207,Company E,2024-05-24,600883,202385,398498,109918,288580,Jane Smith,Finance,Cash,INV-1207,Pending,-
1208,Company D,2024-10-10,453974,349798,104176,44533,59643,Jane Smith,Marketing,Check,INV-1208,Overdue,-
1209,Company A,2023-06-03,571482,228147,343335,161190,182145,Alice Brown,IT,Check,INV-1209,Overdue,Check details
1210,Company D,2024-04-24,663811,537710,126101,86689,39412,Emily Davis,IT,Bank Transfer,INV-1210,Paid,-
1211,Company B,2024-01-25,266605,105515,161090,26301,134789,John Doe,Finance,Cash,INV-1211,Paid,Priority client
1212,Company A,2023-05-19,957986,771826,186160,148279,37881,Emily Davis,Sales,Bank Transfer,INV-1212,Overdue,Urgent payment
1213,Company C,2023-09-21,879223,142969,736254,713354,22900,Robert Johnson,Finance,Online,INV-1213,Overdue,Urgent payment
1214,Company D,2023-08-24,342181,189229,152952,94846,58106,Jane Smith,Finance,Bank Transfer,INV-1214,Overdue,Check details
1215,Company C,2023-09-29,356120,282865,73255,48356,24899,John Doe,Finance,Check,INV-1215,Paid,-
1216,Company C,2024-02-26,390100,259734,130366,101061,29305,Robert Johnson,IT,Cash,INV-1216,Pending,Check details
1217,Company E,2023-04-04,407029,90864,316165,279949,36216,John Doe,IT,Credit Card,INV-1217,Overdue,Priority client
1218,Company A,2024-05-22,363408,78189,285219,239476,45743,John Doe,Finance,Online,INV-1218,Paid,Urgent payment
1219,Company A,2023-12-22,423690,209262,214428,143873,70555,Jane Smith,Sales,Cash,INV-1219,Paid,Urgent payment
1220,Company D,2024-11-02,661294,185028,476266,356657,119609,Emily Davis,HR,Check,INV-1220,Pending,Priority client
1221,Company D,2024-06-15,380272,140559,239713,78771,160942,Emily Davis,Finance,Online,INV-1221,Paid,Check details
1222,Company E,2024-09-28,979651,464516,515135,386488,128647,John Doe,Marketing,Cash,INV-1222,Overdue,Check details
1223,Company D,2024-06-13,475572,175773,299799,91033,208766,Emily Davis,HR,Bank Transfer,INV-1223,Overdue,Priority client
1224,Company C,2023-11-04,907060,761528,145532,92824,52708,Emily Davis,Marketing,Bank Transfer,INV-1224,Paid,-
1225,Company C,2024-08-17,204294,104917,99377,57468,41909,Alice Brown,Sales,Online,INV-1225,Overdue,Check details
1226,Company E,2024-05-09,837888,137219,700669,504854,195815,Emily Davis,HR,Credit Card,INV-1226,Overdue,Check details
1227,Company E,2023-01-15,518589,283256,235333,211479,23854,Emily Davis,Sales,Credit Card,INV-1227,Pending,-
1228,Company D,2024-07-04,835039,551657,283382,213871,69511,Robert Johnson,Sales,Check,INV-1228,Overdue,-
1229,Company B,2024-05-22,480499,297330,183169,91989,91180,Robert Johnson,Marketing,Credit Card,INV-1229,Overdue,Priority client
1230,Company D,2024-09-01,724198,660014,64184,24429,39755,Emily Davis,Finance,Cash,INV-1230,Overdue,-
1231,Company D,2023-03-28,967881,744502,223379,105481,117898,Emily Davis,Sales,Credit Card,INV-1231,Overdue,Check details
